NomProduits;Année;Mois;QuantitéCommandé;MontantCommandé
Kinal ss aspirine bte 30x6;2023;9;60;4?500
Mentho valda b/12;2023;9;60;4?500
Prï¿½servatif presa;2023;4;12;4?500
FEmifer sp 200ml;2023;1;16;4?504
Huile de ricin fl/30ml;2023;9;10;4?520
Vogalene injet detail;2023;3;20;4?560
Flexpar 500mg c b/12;2023;2;16;4?600
Becozyme detail;2023;7;24;4?608
Becozyme detail;2023;4;24;4?608
Phartrim 200/400 susp buv;2023;3;11;4?618
Coton 50g;2023;1;15;4?640
Seringue emb gavage 60ml b/1;2023;7;17;4?668
Huile de ricin fl/30ml;2023;4;10;4?700
Ubitest;2023;1;16;4?781
Eosine aqueuse 1% fl/30ml;2023;1;10;4?826
Eosine aqueuse 1% fl/30ml;2023;7;10;4?850
Eosine aqueuse 1% fl/30ml;2023;8;10;4?860
Eosine aqueuse 1% fl/30ml;2023;5;10;4?860
Securil 1plaq B/28 cp ;2023;2;20;4?870
Seringue emb gavage 60ml b/1;2023;8;20;4?880
Securil 1plaq B/28 cp ;2023;1;20;4?895
Amoxicilline 500 sandoz;2023;1;10;5?000
Amoxicilline ubigen;2023;1;10;5?000
Gel antiseptique mains karite fl 50ml;2023;1;10;5?000
Omeprazole ubi 20mg cpr 10bl7;2023;6;10;5?000
Alzol B/1 cp ;2023;4;10;5?050
Phartrim 200/400 susp buv;2023;7;25;5?065
Supafen;2023;2;9;5?114
Phartrim forte 800/160mg  cpr b/10 ;2023;3;10;5?135
Omeprazole ubi 20mg cpr 10bl7;2023;9;10;5?150
Omeprazole ubi 20mg cpr 10bl7;2023;5;10;5?150
Carben sp FL/30ml;2023;9;10;5?180
Amoxicilline 500 creat B/10X10;2023;7;20;5?200
Vit b denk  b1/00 detail;2023;2;10;5?230
Carben sp FL/30ml;2023;6;10;5?260
Mecotec 500mcg/ml inj amp 1ml b/10;2023;6;10;5?260
Perfuseur;2023;8;25;5?275
Huile d'amande douce fl/30ml;2023;5;10;5?300
Seringue insuline 1ml.;2023;5;100;5?300
Phartrim 200/400 susp buv;2023;5;27;5?304
Parol cp;2023;5;10;5?335
Lidocaine ubi 2% sol inj f/20ml;2023;8;30;5?400
T300dol rapid 37,5mg  b/10;2023;3;12;5?421
Aureomycine vald 3% derm T/15g;2023;4;16;5?424
Sonde 16;2023;1;10;5?430
Sonde 18;2023;1;10;5?430
Physiodose serum 5ml/15;2023;5;22;5?444
Hypafix 10x10;2023;3;20;5?460
Atenolol Denk 50mg cp plqtte au detail;2023;3;10;5?480
Atenolol Denk 50mg cp plqtte au detail;2023;1;10;5?480
Litamol 500mg eff b/80;2023;8;40;5?480
Aquatabs cp b100x10;2023;4;100;5?500
Glyss suppo Ad B/10;2023;5;10;5?520
Guamen sp fl/200ml;2023;5;14;5?530
Loperamide creat b/10x10;2023;9;20;5?560
Glyss suppo Ad B/10;2023;4;10;5?580
Dolamine cp B/20 sans sucre;2023;9;10;5?690
Litacold nuit max 1g/50mg cp b/80;2023;9;10;5?720
Asthalex sp;2023;4;9;5?766
Boncipro 750mg cp CH;2023;1;10;5?770
Vit b denk  b1/00 detail;2023;1;11;5?775
Metronidazole 250mg creat plaq/10 cp;2023;1;20;5?820
Hydrosol eurolab gtte;2023;9;10;5?825
Alcool 70 valda fl/125ml;2023;2;10;5?850
Alcool 70 valda fl/125ml;2023;8;10;5?860
Mentho valda t/30;2023;5;10;5?870
Alcool 70 valda fl/125ml;2023;4;10;5?900
Alcool 70 valda fl/125ml;2023;9;10;5?900
Seringue emb gavage 60ml b/1;2023;1;20;5?925
Dynapar EC cp b/10x10;2023;6;20;6?080
Aureomycine vald 3% derm T/15g;2023;5;18;6?102
Microgynon cp;2023;4;11;6?105
Genforte cp b/10x10;2023;8;10;6?120
Phartrim ad 400mg/80mg cp b/20;2023;3;10;6?120
Metformin denk 500mg BL/3x10;2023;4;9;6?134
Phartrim ad 400mg/80mg cp b/20;2023;8;10;6?140
Bande de  crepe 10x4;2023;3;10;6?160
Eosine aqueuse 2% fl/30ml;2023;4;10;6?160
Phartrim ad 400mg/80mg cp b/20;2023;6;10;6?160
Fezomin C cp B/30;2023;3;15;6?165
Phartrim ad 400mg/80mg cp b/20;2023;5;10;6?165
Alcool 70ï¿½ Gilbert fl/125 ml;2023;1;15;6?220
Bande de  crepe 10x4;2023;4;10;6?230
Eosine aqueuse 2% fl/30ml;2023;2;10;6?240
Panadol 500mg cp eff  B/12;2023;1;10;6?240
Vit b denk  b1/00 detail;2023;7;12;6?316
Alcool 70ï¿½ Gilbert fl/125 ml;2023;7;10;6?320
Compresse gilbert alcool bt 12;2023;3;10;6?350
Copivitamin;2023;7;10;6?350
Hydrosol eurolab gtte;2023;8;11;6?412
Upsa300 C cp eff B/10;2023;5;20;6?420
Dipara B/10 cp;2023;2;15;6?425
Doxycycline creat 200mg plaq;2023;5;10;6?430
Ibuprofen 400mg denk plag/10x10 cp;2023;7;20;6?440
Dipara B/10 cp;2023;4;15;6?460
Dipara B/10 cp;2023;5;15;6?460
Melocam 15;2023;7;15;6?465
Coton 50g;2023;5;20;6?480
Seringue 10ml;2023;4;100;6?500
Catacol cy Fl/10ml;2023;1;10;6?510
Diclo denk 50mg cp bte /20;2023;9;10;6?530
Nemozole cp B/1;2023;2;10;6?530
Correctol cy 10ml ;2023;6;10;6?540
Xykaa rapid 500mg cp b/20;2023;7;10;6?550
Floxsol 0,3% cy 5ml;2023;7;10;6?560
Cerulyse gtte aur ;2023;7;9;6?563
Cerulyse gtte aur ;2023;8;9;6?579
Alcool 70ï¿½ Gilbert fl/125 ml;2023;9;10;6?580
Talodol Pcp 37.5/325mg cp b/10;2023;4;12;6?590
Dynapar EC cp b/10x10;2023;8;20;6?600
Floxsol 0,3% cy 5ml;2023;4;10;6?630
Ibuprofen GH cp b/10x10;2023;3;55;6?655
Gentasol collyre;2023;9;10;6?660
Silverex creme T/25ml;2023;6;10;6?710
Silverex creme T/25ml;2023;4;10;6?720
Conasec crï¿½me;2023;5;9;6?732
Cetamyl 1g cp;2023;3;10;6?760
Metformin denk 500mg BL/3x10;2023;9;10;6?760
Cetamyl 1g cp;2023;2;10;6?780
Epicran 7/10 22G noir;2023;5;10;6?790
Loperamide arrow cp B/20;2023;7;11;6?815
Clofains cp;2023;3;10;6?830
Microgynon cp;2023;5;12;6?840
Panadol 500mg cp eff  B/12;2023;3;11;6?854
Clofains cp;2023;6;10;6?860
Glyss suppo NRS B/10 ;2023;3;15;6?860
Gastrogel cp B/40 sans sucre;2023;2;10;6?870
Rabeloc 20mg cp b/10;2023;5;10;6?875
Wormin 500mg cp B/1;2023;2;20;6?890
Glyss suppo NRS B/10 ;2023;2;15;6?905
Uvesterol ADEC sol buvable FL/10ml;2023;6;25;6?915
Supafen;2023;4;12;6?925
Sonde 18;2023;8;10;6?940
Urgo extensible pans adhe B/48;2023;4;240;6?960
Urgo extensible pans adhe B/48;2023;9;240;6?960
Terpara 500mg cp sec b/20;2023;1;18;6?968
Fludol gï¿½lules b/10x10;2023;6;20;6?980
Vitagen detail;2023;8;20;6?980
Fludol gï¿½lules b/10x10;2023;2;20;7?020
Genset sp;2023;9;10;7?050
Vitagen detail;2023;1;24;7?056
Carben 500 cp B/1;2023;7;9;7?065
Strimol extra cp;2023;4;9;7?082
Lames de bistouri;2023;2;100;7?100
Panadol sp Fl/100ml ;2023;2;45;7?110
Verex cp B/1;2023;8;10;7?160
Serum glucose 5% kabipac;2023;9;10;7?180
Verex cp B/1;2023;6;10;7?180
Tussiphan sp FL/125ml;2023;4;9;7?205
Verex sirop;2023;2;10;7?215
Verex sirop;2023;9;10;7?215
Rhuvex ad sach b/8;2023;5;10;7?230
Vaseline salicylï¿½e 5%  t/40;2023;8;10;7?230
Verex sirop;2023;8;10;7?230
Securil 1plaq B/28 cp ;2023;3;30;7?240
Teramox 250/5ML pdre susp buv f/60ML;2023;4;9;7?254
Theralene sp Fl/150ml;2023;9;11;7?265
Dipara B/10 cp;2023;3;17;7?297
Brustan sp FL/100ml;2023;2;9;7?306
Rhuvex ad sach b/8;2023;3;10;7?320
Litamol 500mg eff b/80;2023;3;20;7?340
Rhuvex ad sach b/8;2023;2;10;7?350
Glyss suppo NRS B/10 ;2023;1;16;7?389
Rhuvex ad sach b/8;2023;1;10;7?390
Sedaspir cp B/20;2023;5;10;7?390
Sedaspir cp B/20;2023;8;10;7?390
Sedaspir cp B/20;2023;7;10;7?390
Rhuvex ad sach b/8;2023;4;10;7?410
Vit B12 Gerda 1000ug amp  4ml B/6;2023;1;10;7?410
Ibex B/24 cp;2023;1;10;7?450
Conasec crï¿½me;2023;7;10;7?453
Fansidar cp B/3;2023;6;10;7?480
Metformin denk 500mg BL/3x10;2023;1;11;7?483
Doliprane 500mg  sachet B/12;2023;8;10;7?520
Alzol sirop;2023;4;15;7?530
Rhuvex ad sach b/8;2023;9;10;7?530
Meben gh cp;2023;9;11;7?546
Alzol B/1 cp ;2023;9;15;7?555
Neutrocold sirop;2023;7;10;7?570
Neutrocold sirop;2023;5;10;7?570
Doliprane suppo 150mg B/10;2023;4;10;7?573
Doliprane suppo 150mg B/10;2023;8;10;7?610
Rapidex 500/10/30,5mg cp b/80;2023;9;22;7?640
Apramol 500mg cp eff B/16;2023;6;10;7?680
Apramol 500mg cp eff B/16;2023;8;10;7?680
Asthalex sp;2023;5;12;7?704
Neutrocold sirop;2023;3;10;7?707
Terpara 1000 cp ;2023;5;10;7?720
Genta gtte a;2023;3;9;7?736
Dynapar SR 100 cp b/10x10;2023;9;20;7?740
Dynapar SR 100 cp b/10x10;2023;4;20;7?740
Glyss suppo NRS B/10 ;2023;6;17;7?769
Halopara 100mg cp b/8;2023;7;11;7?788
Efferalgan 250mg  sachet B/12;2023;4;10;7?790
Spasmotroy 40 cp;2023;4;9;7?794
Meben gh sp 30ml;2023;9;10;7?810
Trifed plus 50mg cp b/20;2023;9;10;7?810
Compresse 20x20;2023;7;20;7?820
Surdex sp Fl/60ml;2023;6;10;7?820
Carben 500 cp B/1;2023;1;10;7?830
Fenapar cp ;2023;9;10;7?870
Roipar 500 cp eff b/16;2023;9;10;7?870
Litacold respi/ inhalateur b/10X10;2023;1;10;7?880
Insul actrapid;2023;3;10;7?910
Vitabact cy FL/10ml;2023;3;10;7?920
Insulatard ins;2023;4;10;7?930
Dolbufen 400mg/325mg cp b/20;2023;8;9;7?953
Physiodose serum 5ml/15;2023;2;11;7?964
Poche ï¿½ urine;2023;8;20;7?980
Insulatard ins;2023;3;10;7?990
Volini gel T/30g;2023;6;10;7?990
Vitabact cy FL/10ml;2023;4;10;8?010
Vitabact cy FL/10ml;2023;9;10;8?010
Genforte sp;2023;6;10;8?040
Floxsol 0,3% cy 5ml;2023;2;12;8?050
Efferalgan 1g sec;2023;7;10;8?110
Frakidex pde opht T/15g;2023;1;11;8?112
Efferalgan 1g sec;2023;3;10;8?120
Phartrim 200/400 susp buv;2023;6;15;8?138
Metformin denk 500mg BL/3x10;2023;2;12;8?156
Clofains cp;2023;7;12;8?232
Betadine rouge scrub Fl/125ml;2023;5;9;8?284
Kinal ss aspirine bte 30x6;2023;7;110;8?290
Albendazole ubigen 400mg b/50;2023;9;100;8?300
Epicran 7/10 22G noir;2023;8;10;8?300
Fenapar cp ;2023;4;10;8?320
Sekalgic cp b/12;2023;4;10;8?320
Doliprane 300mg  sachet B/12;2023;6;10;8?330
Rapidex 500/10/30,5mg cp b/80;2023;3;41;8?339
Doliprane 500mg  cp b/16;2023;4;15;8?355
Hypafix 10cmx2m;2023;3;26;8?378
Apramol  500mg sec;2023;1;28;8?417
Efferalgan vit c cp eff b/20;2023;9;10;8?440
Osmule detail ;2023;1;50;8?450
Aureomycine vald 3% derm T/15g;2023;9;25;8?475
Halopara 100mg cp b/8;2023;8;12;8?496
Dakin cooper fl/250ml;2023;7;9;8?505
Seringue 10ml;2023;2;120;8?520
Seringue insuline 1ml.;2023;9;120;8?520
Compresse 30x30;2023;8;10;8?530
Sterdex pde opht capsule B/12;2023;3;10;8?540
Cetamyl sirop;2023;5;11;8?547
Ringer lactat Frï¿½senius Kabipac sol perf 500ml;2023;4;10;8?550
Correctol cy 10ml ;2023;3;13;8?558
Desomedine 0,1% cy Fl/10ml;2023;2;10;8?570
Securil 1plaq B/28 cp ;2023;6;35;8?575
Aclav 100/12.5 buv f/60ml;2023;5;14;8?592
Isone 5mg cp B/30;2023;7;10;8?630
Wormin 500mg cp B/1;2023;3;25;8?630
Pectogen sirop;2023;3;10;8?650
Bibactin 240mg sp Fl/100ml;2023;3;10;8?670
Sterdex pde opht capsule B/12;2023;4;10;8?680
Bibactin 240mg sp Fl/100ml;2023;4;10;8?695
Ibuprofen GH cp b/10x10;2023;6;50;8?700
Vitabact cy FL/10ml;2023;8;11;8?712
Xylo acino 0.1  adulte ;2023;1;9;8?752
Bibactin 240mg sp Fl/100ml;2023;5;10;8?755
Physiodose serum 5ml/15;2023;8;10;8?760
Bilor 10mg cp b/10;2023;5;10;8?765
Bilor 10mg cp b/10;2023;3;10;8?770
Genacid sirop;2023;9;10;8?770
Phartrim 200/400 susp buv;2023;9;30;8?770
Brustan cp  B/10;2023;3;10;8?780
Zing OD 20mg cp disp b/10;2023;2;10;8?780
Phenergan 25mg cp B/20;2023;2;20;8?795
Phenergan 25mg cp B/20;2023;1;20;8?810
Glucophage 500mg cp B/30;2023;6;11;8?822
Zeben cp B/1;2023;4;20;8?860
Betaderm nn creme t/10g;2023;7;10;8?862
Gel antiseptique main valda fl/ 500ml;2023;3;10;8?870
Alcool 70 valda fl/125ml;2023;3;15;8?880
Idol suppo;2023;8;13;8?928
Artane 5mg cp B/20;2023;4;10;8?930
Artane 5mg cp B/20;2023;2;10;8?930
Respibien  gtte nasale FL/15ml;2023;6;9;8?937
Maalox comprimes ;2023;2;9;8?946
Teramox 500mg gel b/12;2023;5;16;8?966
Zing OD 20mg cp disp b/10;2023;9;10;9?000
Efferalgan vit c cp eff b/20;2023;4;10;9?010
Kiss gold confort max ;2023;5;24;9?024
Panadol advence 500mg b/16;2023;4;60;9?084
Doliprane 500mg  cp b/16;2023;1;25;9?085
Phartrim ad 400mg/80mg cp b/20;2023;4;15;9?155
Becozyme detail;2023;2;48;9?156
Betadine rouge scrub Fl/125ml;2023;8;10;9?170
Xykaa rapid 500mg cp b/20;2023;8;14;9?226
Doliprane vit c;2023;3;10;9?240
Alben cp B/1;2023;6;10;9?250
Haldol 2mg/mlsol buv f/30ml;2023;6;20;9?250
Alben cp B/1;2023;4;10;9?270
Alben cp B/1;2023;7;10;9?270
Talodol Pcp 37.5/325mg cp b/10;2023;7;17;9?274
Croissard 500mg/250ui cp b/15;2023;9;9;9?284
Vermox 100mg cp B/6;2023;3;10;9?290
Nurabol 4mg sp Ad Fl/125ml;2023;5;9;9?308
Metro gh 500mg b/20;2023;9;10;9?310
Talodol Pcp 37.5/325mg cp b/10;2023;3;15;9?310
Nurabol 4mg sp Ad Fl/125ml;2023;9;9;9?323
Nurabol 4mg cp bte/30;2023;5;9;9?331
Amoxicilline 125mg ubigen fl 60ml;2023;3;20;9?340
Anticid sp;2023;4;11;9?360
Anticid sp;2023;1;11;9?360
Panadol sp Fl/100ml ;2023;3;36;9?361
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;9;10;9?370
Dakin cooper fl/250ml;2023;2;10;9?415
Novalgin 500mg cp B/20;2023;9;10;9?440
Orofer sirop ;2023;5;9;9?454
Acefyl sp 120ml;2023;3;12;9?488
Seringue 10ml;2023;8;100;9?500
Seringue 10ml;2023;7;100;9?500
Cetamyl 300mg poudre b/12;2023;5;15;9?510
Vovgel;2023;6;15;9?510
Vovgel;2023;4;15;9?525
Eosine aqueuse 2% fl/30ml;2023;8;20;9?560
Dynapar EC cp b/10x10;2023;1;30;9?570
Betadine jaune sol dermique Fl/125ml;2023;6;10;9?590
Alcool 70ï¿½ Gilbert fl/125 ml;2023;4;15;9?600
Meben gh sp 30ml;2023;4;15;9?600
Transfuseur  label sch 1;2023;8;10;9?600
Genforte sp;2023;3;12;9?618
Panalgic  cp sec;2023;1;12;9?619
Genforte sp;2023;1;12;9?643
Nystatine ubi 100000UI/ml susp buv f30ml;2023;7;11;9?661
Betadine jaune sol dermique Fl/125ml;2023;3;10;9?710
Clotridenk 1% creme T/20g ;2023;7;9;9?726
Mayana savon anti tache;2023;8;10;9?740
Mayana savon anti tache;2023;4;10;9?740
Paraco300denk;2023;6;10;9?750
Xykaa extend 1000mg cp b/20;2023;7;74;9?750
Aureomycine vald 3% derm T/15g;2023;1;29;9?752
Creme depilatoire aloe vera;2023;1;10;9?870
Diclo denk 50mg cp bte /20;2023;5;15;9?870
Netazox sp Fl/30ml;2023;1;21;9?871
Dynapar EC cp b/10x10;2023;4;30;9?900
Respibien  gtte nasale FL/15ml;2023;4;10;9?910
Theralene sp Fl/150ml;2023;1;15;9?917
Theralene sp Fl/150ml;2023;4;15;9?930
Fludol P sp;2023;8;10;9?970
Ferfoltone gelu B/30;2023;9;15;9?990
Baneocin poudre fl/10g;2023;8;10;10?000
Klipal 300 cp;2023;2;10;10?000
Klipal 300 cp;2023;1;10;10?000
Neuclav 1.2g iv inj f/1;2023;9;10;10?000
Omeprazole ubi 20mg cpr 10bl7;2023;2;20;10?000
Sportie longue durï¿½e b/48;2023;7;20;10?000
Ibuprofen GH sirop 200ml;2023;4;10;10?010
Nurabol 2mg sp Enf Fl/125ml;2023;8;10;10?014
Betadine rouge scrub Fl/125ml;2023;9;11;10?053
Betadine rouge scrub Fl/125ml;2023;3;11;10?075
Glyss suppo NRS B/10 ;2023;4;22;10?076
Cromsol cy;2023;8;15;10?095
Floxsol 0,3% cy 5ml;2023;9;15;10?095
Terpone sp Ad Fl/180ml;2023;7;9;10?098
Aclav 100/12.5 buv f/60ml;2023;4;10;10?100
Copivitamin;2023;9;16;10?160
Bande de  crepe 4x5;2023;1;29;10?162
Saforelle sol fl/100ml;2023;7;10;10?180
Saforelle sol fl/100ml;2023;8;10;10?180
Anticid sp;2023;3;12;10?192
Nido 1+ croiss lait pdre b/900g;2023;6;10;10?198
Aquatabs cp b100x10;2023;3;200;10?200
Wormin 500mg cp B/1;2023;9;30;10?210
Acide fusidique ubi 2% cr t/15g b/12;2023;1;10;10?220
Sonde foley labell mixte ch16 orange/1;2023;5;10;10?230
Cetamyl 1g cp;2023;6;15;10?245
Clofains cp;2023;8;15;10?245
Clofains cp;2023;2;15;10?285
Smecta 3g fraise pdre susp buv sach b/12;2023;1;13;10?310
Nidazol 250mg cp ;2023;3;10;10?330
Uvedose 1.000.000 UI;2023;7;12;10?332
